
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,622159.812,622159.812,622159.812,0.000,622159.812,622159.812,622159.812,622159.812,1,µm^2,Surface,,1,
Volume,14612095.000,14612095.000,14612095.000,0.000,14612095.000,14612095.000,14612095.000,14612095.000,1,µm^3,Surface,,1,
