
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,703961.625,703961.625,703961.625,0.000,703961.625,703961.625,703961.625,703961.625,1,µm^2,Surface,,1,
Volume,15218738.000,15218738.000,15218738.000,0.000,15218738.000,15218738.000,15218738.000,15218738.000,1,µm^3,Surface,,1,
