
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,639154.875,639154.875,639154.875,0.000,639154.875,639154.875,639154.875,639154.875,1,µm^2,Surface,,1,
Volume,16447112.000,16447112.000,16447112.000,0.000,16447112.000,16447112.000,16447112.000,16447112.000,1,µm^3,Surface,,1,
