
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,660623.000,660623.000,660623.000,0.000,660623.000,660623.000,660623.000,660623.000,1,µm^2,Surface,,1,
Volume,17005842.000,17005842.000,17005842.000,0.000,17005842.000,17005842.000,17005842.000,17005842.000,1,µm^3,Surface,,1,
