
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,690789.875,690789.875,690789.875,0.000,690789.875,690789.875,690789.875,690789.875,1,µm^2,Surface,,1,
Volume,22619448.000,22619448.000,22619448.000,0.000,22619448.000,22619448.000,22619448.000,22619448.000,1,µm^3,Surface,,1,
