
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,666134.812,666134.812,666134.812,0.000,666134.812,666134.812,666134.812,666134.812,1,µm^2,Surface,,1,
Volume,16132059.000,16132059.000,16132059.000,0.000,16132059.000,16132059.000,16132059.000,16132059.000,1,µm^3,Surface,,1,
