
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6329348.500,6329348.500,6329348.500,0.000,6329348.500,6329348.500,6329348.500,6329348.500,1,µm^2,Surface,,1,
Volume,255775824.000,255775824.000,255775824.000,0.000,255775824.000,255775824.000,255775824.000,255775824.000,1,µm^3,Surface,,1,
