
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6512551.500,6512551.500,6512551.500,0.000,6512551.500,6512551.500,6512551.500,6512551.500,1,µm^2,Surface,,1,
Volume,368723552.000,368723552.000,368723552.000,0.000,368723552.000,368723552.000,368723552.000,368723552.000,1,µm^3,Surface,,1,
