
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5201055.000,5201055.000,5201055.000,0.000,5201055.000,5201055.000,5201055.000,5201055.000,1,µm^2,Surface,,1,
Volume,229891376.000,229891376.000,229891376.000,0.000,229891376.000,229891376.000,229891376.000,229891376.000,1,µm^3,Surface,,1,
