
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5075967.500,5075967.500,5075967.500,0.000,5075967.500,5075967.500,5075967.500,5075967.500,1,µm^2,Surface,,1,
Volume,222075584.000,222075584.000,222075584.000,0.000,222075584.000,222075584.000,222075584.000,222075584.000,1,µm^3,Surface,,1,
