
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5138887.500,5138887.500,5138887.500,0.000,5138887.500,5138887.500,5138887.500,5138887.500,1,µm^2,Surface,,1,
Volume,214950176.000,214950176.000,214950176.000,0.000,214950176.000,214950176.000,214950176.000,214950176.000,1,µm^3,Surface,,1,
