
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6112919.500,6112919.500,6112919.500,0.000,6112919.500,6112919.500,6112919.500,6112919.500,1,µm^2,Surface,,1,
Volume,282172352.000,282172352.000,282172352.000,0.000,282172352.000,282172352.000,282172352.000,282172352.000,1,µm^3,Surface,,1,
