
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5656765.500,5656765.500,5656765.500,0.000,5656765.500,5656765.500,5656765.500,5656765.500,1,µm^2,Surface,,1,
Volume,304994368.000,304994368.000,304994368.000,0.000,304994368.000,304994368.000,304994368.000,304994368.000,1,µm^3,Surface,,1,
