
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5597833.000,5597833.000,5597833.000,0.000,5597833.000,5597833.000,5597833.000,5597833.000,1,µm^2,Surface,,1,
Volume,245267744.000,245267744.000,245267744.000,0.000,245267744.000,245267744.000,245267744.000,245267744.000,1,µm^3,Surface,,1,
