
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6535954.000,6535954.000,6535954.000,0.000,6535954.000,6535954.000,6535954.000,6535954.000,1,µm^2,Surface,,1,
Volume,372562048.000,372562048.000,372562048.000,0.000,372562048.000,372562048.000,372562048.000,372562048.000,1,µm^3,Surface,,1,
