
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6055025.000,6055025.000,6055025.000,0.000,6055025.000,6055025.000,6055025.000,6055025.000,1,µm^2,Surface,,1,
Volume,331234976.000,331234976.000,331234976.000,0.000,331234976.000,331234976.000,331234976.000,331234976.000,1,µm^3,Surface,,1,
