
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5838405.000,5838405.000,5838405.000,0.000,5838405.000,5838405.000,5838405.000,5838405.000,1,µm^2,Surface,,1,
Volume,282787520.000,282787520.000,282787520.000,0.000,282787520.000,282787520.000,282787520.000,282787520.000,1,µm^3,Surface,,1,
