
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5684165.000,5684165.000,5684165.000,0.000,5684165.000,5684165.000,5684165.000,5684165.000,1,µm^2,Surface,,1,
Volume,249808544.000,249808544.000,249808544.000,0.000,249808544.000,249808544.000,249808544.000,249808544.000,1,µm^3,Surface,,1,
