
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6395339.500,6395339.500,6395339.500,0.000,6395339.500,6395339.500,6395339.500,6395339.500,1,µm^2,Surface,,1,
Volume,337089376.000,337089376.000,337089376.000,0.000,337089376.000,337089376.000,337089376.000,337089376.000,1,µm^3,Surface,,1,
