
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5323315.500,5323315.500,5323315.500,0.000,5323315.500,5323315.500,5323315.500,5323315.500,1,µm^2,Surface,,1,
Volume,255710960.000,255710960.000,255710960.000,0.000,255710960.000,255710960.000,255710960.000,255710960.000,1,µm^3,Surface,,1,
