
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6867965.000,6867965.000,6867965.000,0.000,6867965.000,6867965.000,6867965.000,6867965.000,1,µm^2,Surface,,1,
Volume,364223168.000,364223168.000,364223168.000,0.000,364223168.000,364223168.000,364223168.000,364223168.000,1,µm^3,Surface,,1,
