,ID,Gender,Batch,Amyloid Plaque Count,Amyloid Surface Volume,Amyloid Surface Area,Total Amyloid IID,Microglia Count,Microglia Surface Volume,Microglia Surface Area,Total Microglia IID,HPC Volume,HPC Area
49,27_F_sliceB2,F,18-32,461,3539073.25,813994.312,6622972416.0,1376,3404090.25,1394963.25,6160291840.0,196211248.0,4981842.5
50,28_M_sliceB1,M,18-32,443,1486291.125,481556.031,1363352576.0,1444,3351649.75,1390315.25,7270657024.0,210297712.0,5543817.0
51,28_M_sliceB2,M,18-32,429,1399419.0,477656.281,1434455168.0,1599,4200212.0,1707246.625,9846404096.0,204107680.0,5621762.5
52,29_M_sliceB1,M,18-32,220,319650.031,135204.734,116277064.0,1631,4043065.0,1683074.5,6754524672.0,177218464.0,5123774.5
53,29_M_sliceB2,M,18-32,223,396130.906,149521.188,141172320.0,1681,4004627.75,1674842.375,5767342592.0,175352400.0,5070675.5
54,30_F_sliceB1,F,18-32,347,1005528.688,348841.125,740688960.0,1476,3674586.25,1522104.5,5148929024.0,170265424.0,4718681.0
55,30_F_sliceB2,F,18-32,317,774710.25,293229.469,557177472.0,1514,3754514.25,1573121.625,4740254208.0,162814336.0,4513158.5
56,31_M_sliceB1,M,18-32,246,436788.969,190714.75,149162736.0,1591,2697955.25,1245334.875,4367773184.0,197331952.0,4647411.5
57,31_M_sliceB2,M,18-32,260,653335.625,222002.984,467866784.0,1734,3463960.75,1514013.0,4683239424.0,204181168.0,4805222.0
58,32_M_sliceB1,M,18-32,394,1406994.5,441360.938,1457639680.0,1861,3575736.25,1543793.75,5657525248.0,207754368.0,5979605.0
59,32_M_sliceB2,M,18-32,341,1763578.125,477485.156,2325566976.0,1842,3612642.25,1551260.625,6924476928.0,210677456.0,6072057.0
60,33_M_sliceB1,M,33-40,354,2213149.75,541717.312,4175807232.0,1645,10342572.0,2967899.75,6630833664.0,351719520.0,6219984.0
61,33_M_sliceB2,M,33-40,359,2540858.25,607192.938,4995541504.0,1970,14177917.0,4028603.5,9070294016.0,368723552.0,6512551.5
62,36_M_sliceB1,M,33-40,564,1173132.125,455590.594,1319369344.0,1776,12504867.0,3470398.25,7933297152.0,294133664.0,5640106.5
63,36_M_sliceB2,M,33-40,471,1074995.375,406121.5,1362423168.0,1717,12144345.0,3358918.0,7391888896.0,290507552.0,5599237.5
64,37_F_sliceB1,F,33-40,369,1278867.625,413341.188,1473097472.0,1650,9437748.0,2731296.0,4773254656.0,298440192.0,6072388.0
65,37_F_sliceB2,F,33-40,346,1074638.625,347077.594,1222444032.0,1279,7707887.0,2220508.25,3824490240.0,229891376.0,5201055.0
66,40_F_sliceB1,F,33-40,320,1165211.375,354602.781,1906960128.0,1411,7892545.5,2323528.75,4674133504.0,255775824.0,6329348.5
67,40_F_sliceB2,F,33-40,318,1466506.25,403513.438,2775754240.0,1351,7576337.5,2222621.0,4928655872.0,261865696.0,6601547.0
