,ID,Gender,Batch,Amyloid Plaque Count,Amyloid Surface Volume,Amyloid Surface Area,Total Amyloid IID,Microglia Count,Microglia Surface Volume,Microglia Surface Area,Total Microglia IID,SBC Volume,SBC Area,LD Count,Avg LD Vol,Avg LD SA,BODIPY IID
35,24_M_sliceC2,M,18-32,183,863248.438,268051.375,17439752192.0,375,701018.188,356077.281,16408120320.0,7522698.5,531823.438,10076,0.422,0.1227,62860168644.0
36,25_F_sliceC1,F,18-32,290,1376895.25,458818.219,33101258752.0,541,1026760.562,511079.375,75640586240.0,12371142.0,640898.312,19087,3.038,3.0381,82182283231.0
37,25_F_sliceC2,F,18-32,305,1372667.5,449703.875,23422398464.0,565,1072300.375,539866.812,61597478912.0,11681296.0,608090.25,12624,3.0683,3.0408,99252908222.0
38,27_F_sliceC1,F,18-32,250,1262679.375,404534.25,39656189952.0,451,954942.0,479614.469,43612909568.0,10338478.0,544945.875,118,0.4216,0.035,15237934563.0
39,27_F_sliceC2,F,18-32,259,1282090.875,425552.281,37095596032.0,429,949086.125,475658.75,49211203584.0,9411814.0,496789.719,12575,3.1098,3.0971,87612985343.0
40,28_M_sliceC1,M,18-32,262,1295698.625,416303.625,38849564672.0,448,948609.562,488048.656,62891520000.0,12170767.0,634118.188,8243,1.9506,1.616,49429048837.0
41,28_M_sliceC2,M,18-32,344,1311188.25,437297.875,33998841856.0,553,1002498.125,534576.75,57651429376.0,12575767.0,654463.188,16925,2.342,2.1172,74543679358.0
42,29_M_sliceC1,M,18-32,190,817134.062,266683.719,34153469952.0,374,628974.562,332357.406,20331165696.0,7203543.5,533712.438,2,0.1752,0.0,10426808392.0
43,29_M_sliceC2,M,18-32,200,828657.062,276708.906,35755630592.0,331,597209.688,305469.625,22628268032.0,7038149.0,523979.719,5569,1.5058,1.0229,72138702502.0
44,30_F_sliceC1,F,18-32,223,1853961.125,493746.469,37166174208.0,478,1460730.125,710327.312,41579417600.0,18922890.0,663882.812,10962,2.0332,1.7416,109000000000.0
45,30_F_sliceC2,F,18-32,291,1789966.375,516922.125,41327448064.0,578,1380282.875,705123.875,53242028032.0,21301472.0,735453.375,19404,1.7355,1.3385,43328268544.0
46,32_M_sliceC1,M,18-32,202,1053187.625,306290.375,23018534912.0,469,851541.312,459202.219,23139223552.0,11293779.0,621274.438,2101,0.7734,0.3429,60807851134.0
47,32_M_sliceC2,M,18-32,229,1430856.0,457508.281,11864260608.0,472,871418.312,488482.188,17615269888.0,10209737.0,568757.938,47,0.5255,0.2272,14239773071.0
