
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6305217.500,6305217.500,6305217.500,0.000,6305217.500,6305217.500,6305217.500,6305217.500,1,µm^2,Surface,,1,
Volume,291188064.000,291188064.000,291188064.000,0.000,291188064.000,291188064.000,291188064.000,291188064.000,1,µm^3,Surface,,1,
