
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5663441.000,5663441.000,5663441.000,0.000,5663441.000,5663441.000,5663441.000,5663441.000,1,µm^2,Surface,,1,
Volume,297559360.000,297559360.000,297559360.000,0.000,297559360.000,297559360.000,297559360.000,297559360.000,1,µm^3,Surface,,1,
