
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5764780.500,5764780.500,5764780.500,0.000,5764780.500,5764780.500,5764780.500,5764780.500,1,µm^2,Surface,,1,
Volume,313946752.000,313946752.000,313946752.000,0.000,313946752.000,313946752.000,313946752.000,313946752.000,1,µm^3,Surface,,1,
