
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5209654.000,5209654.000,5209654.000,0.000,5209654.000,5209654.000,5209654.000,5209654.000,1,µm^2,Surface,,1,
Volume,250019840.000,250019840.000,250019840.000,0.000,250019840.000,250019840.000,250019840.000,250019840.000,1,µm^3,Surface,,1,
