
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,4921951.000,4921951.000,4921951.000,0.000,4921951.000,4921951.000,4921951.000,4921951.000,1,µm^2,Surface,,1,
Volume,215076928.000,215076928.000,215076928.000,0.000,215076928.000,215076928.000,215076928.000,215076928.000,1,µm^3,Surface,,1,
