
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5378871.000,5378871.000,5378871.000,0.000,5378871.000,5378871.000,5378871.000,5378871.000,1,µm^2,Surface,,1,
Volume,292929120.000,292929120.000,292929120.000,0.000,292929120.000,292929120.000,292929120.000,292929120.000,1,µm^3,Surface,,1,
