
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5948335.000,5948335.000,5948335.000,0.000,5948335.000,5948335.000,5948335.000,5948335.000,1,µm^2,Surface,,1,
Volume,286593664.000,286593664.000,286593664.000,0.000,286593664.000,286593664.000,286593664.000,286593664.000,1,µm^3,Surface,,1,
