
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6261361.000,6261361.000,6261361.000,0.000,6261361.000,6261361.000,6261361.000,6261361.000,1,µm^2,Surface,,1,
Volume,302391520.000,302391520.000,302391520.000,0.000,302391520.000,302391520.000,302391520.000,302391520.000,1,µm^3,Surface,,1,
