
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5090681.500,5090681.500,5090681.500,0.000,5090681.500,5090681.500,5090681.500,5090681.500,1,µm^2,Surface,,1,
Volume,274468800.000,274468800.000,274468800.000,0.000,274468800.000,274468800.000,274468800.000,274468800.000,1,µm^3,Surface,,1,
