
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6195756.500,6195756.500,6195756.500,0.000,6195756.500,6195756.500,6195756.500,6195756.500,1,µm^2,Surface,,1,
Volume,299833728.000,299833728.000,299833728.000,0.000,299833728.000,299833728.000,299833728.000,299833728.000,1,µm^3,Surface,,1,
