
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6601547.000,6601547.000,6601547.000,0.000,6601547.000,6601547.000,6601547.000,6601547.000,1,µm^2,Surface,,1,
Volume,261865696.000,261865696.000,261865696.000,0.000,261865696.000,261865696.000,261865696.000,261865696.000,1,µm^3,Surface,,1,
