
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5599237.500,5599237.500,5599237.500,0.000,5599237.500,5599237.500,5599237.500,5599237.500,1,µm^2,Surface,,1,
Volume,290507552.000,290507552.000,290507552.000,0.000,290507552.000,290507552.000,290507552.000,290507552.000,1,µm^3,Surface,,1,
