
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5640106.500,5640106.500,5640106.500,0.000,5640106.500,5640106.500,5640106.500,5640106.500,1,µm^2,Surface,,1,
Volume,294133664.000,294133664.000,294133664.000,0.000,294133664.000,294133664.000,294133664.000,294133664.000,1,µm^3,Surface,,1,
