 ,Label,ID,Vol. (microns³),x Cent (microns),y Cent (microns),z Cent (microns),SA (microns²),Encl. Vol. (microns³)
11252,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11252,0.240,1105.735,195.497,17.000,0.000,0.000
11253,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11253,0.721,1242.999,361.646,13.833,0.000,0.000
11254,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11254,0.481,1354.266,272.448,23.750,0.000,0.000
11255,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11255,0.240,1197.244,476.263,24.500,0.000,0.000
11256,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11256,1.442,794.465,243.793,10.750,0.000,0.000
11257,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11257,9.612,1193.917,412.658,16.262,11.089,2.702
11258,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11258,1.682,938.860,186.584,25.071,0.480,0.024
11259,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11259,2.643,261.040,507.081,20.409,2.762,0.324
11260,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11260,4.806,835.679,120.626,9.300,5.475,0.906
11261,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11261,0.481,1527.232,293.245,10.750,0.000,0.000
