 ,Label,ID,Vol. (microns³),x Cent (microns),y Cent (microns),z Cent (microns),SA (microns²),Encl. Vol. (microns³)
5834,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5834,0.240,120.626,684.932,22.000,0.000,0.000
5835,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5835,2.643,967.652,199.152,10.182,1.681,0.156
5836,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5836,0.481,1543.870,119.932,16.750,0.000,0.000
5837,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5837,2.643,823.204,349.966,20.318,0.796,0.038
5838,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5838,0.240,66.552,606.595,15.000,0.000,0.000
5839,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5839,4.085,1180.239,215.968,11.324,6.155,1.153
5840,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5840,0.721,1536.244,238.478,20.500,0.000,0.000
5841,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5841,1.922,815.956,174.439,9.500,0.000,0.000
5842,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5842,1.442,981.990,272.448,7.500,0.000,0.000
5843,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5843,0.240,103.294,597.582,9.500,0.000,0.000
