
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6024934.000,6024934.000,6024934.000,0.000,6024934.000,6024934.000,6024934.000,6024934.000,1,µm^2,Surface,,1,
Volume,253646080.000,253646080.000,253646080.000,0.000,253646080.000,253646080.000,253646080.000,253646080.000,1,µm^3,Surface,,1,
