
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,7294429.500,7294429.500,7294429.500,0.000,7294429.500,7294429.500,7294429.500,7294429.500,1,µm^2,Surface,,1,
Volume,418458144.000,418458144.000,418458144.000,0.000,418458144.000,418458144.000,418458144.000,418458144.000,1,µm^3,Surface,,1,
