
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6701401.000,6701401.000,6701401.000,0.000,6701401.000,6701401.000,6701401.000,6701401.000,1,µm^2,Surface,,1,
Volume,354845088.000,354845088.000,354845088.000,0.000,354845088.000,354845088.000,354845088.000,354845088.000,1,µm^3,Surface,,1,
