
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5838488.000,5838488.000,5838488.000,0.000,5838488.000,5838488.000,5838488.000,5838488.000,1,µm^2,Surface,,1,
Volume,282651552.000,282651552.000,282651552.000,0.000,282651552.000,282651552.000,282651552.000,282651552.000,1,µm^3,Surface,,1,
