
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6249005.000,6249005.000,6249005.000,0.000,6249005.000,6249005.000,6249005.000,6249005.000,1,µm^2,Surface,,1,
Volume,303225920.000,303225920.000,303225920.000,0.000,303225920.000,303225920.000,303225920.000,303225920.000,1,µm^3,Surface,,1,
