
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6428373.500,6428373.500,6428373.500,0.000,6428373.500,6428373.500,6428373.500,6428373.500,1,µm^2,Surface,,1,
Volume,311682688.000,311682688.000,311682688.000,0.000,311682688.000,311682688.000,311682688.000,311682688.000,1,µm^3,Surface,,1,
