
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,6393100.500,6393100.500,6393100.500,0.000,6393100.500,6393100.500,6393100.500,6393100.500,1,µm^2,Surface,,1,
Volume,283019840.000,283019840.000,283019840.000,0.000,283019840.000,283019840.000,283019840.000,283019840.000,1,µm^3,Surface,,1,
