
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5581784.000,5581784.000,5581784.000,0.000,5581784.000,5581784.000,5581784.000,5581784.000,1,µm^2,Surface,,1,
Volume,269187584.000,269187584.000,269187584.000,0.000,269187584.000,269187584.000,269187584.000,269187584.000,1,µm^3,Surface,,1,
