
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5407473.000,5407473.000,5407473.000,0.000,5407473.000,5407473.000,5407473.000,5407473.000,1,µm^2,Surface,,1,
Volume,236748832.000,236748832.000,236748832.000,0.000,236748832.000,236748832.000,236748832.000,236748832.000,1,µm^3,Surface,,1,
