
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,7827338.500,7827338.500,7827338.500,0.000,7827338.500,7827338.500,7827338.500,7827338.500,1,µm^2,Surface,,1,
Volume,380259808.000,380259808.000,380259808.000,0.000,380259808.000,380259808.000,380259808.000,380259808.000,1,µm^3,Surface,,1,
