
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,7717604.000,7717604.000,7717604.000,0.000,7717604.000,7717604.000,7717604.000,7717604.000,1,µm^2,Surface,,1,
Volume,377349888.000,377349888.000,377349888.000,0.000,377349888.000,377349888.000,377349888.000,377349888.000,1,µm^3,Surface,,1,
