
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,8004383.500,8004383.500,8004383.500,0.000,8004383.500,8004383.500,8004383.500,8004383.500,1,µm^2,Surface,,1,
Volume,445148928.000,445148928.000,445148928.000,0.000,445148928.000,445148928.000,445148928.000,445148928.000,1,µm^3,Surface,,1,
