
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,5709162.000,5709162.000,5709162.000,0.000,5709162.000,5709162.000,5709162.000,5709162.000,1,µm^2,Surface,,1,
Volume,286645152.000,286645152.000,286645152.000,0.000,286645152.000,286645152.000,286645152.000,286645152.000,1,µm^3,Surface,,1,
