
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,653432.500,653432.500,653432.500,0.000,653432.500,653432.500,653432.500,653432.500,1,µm^2,Surface,,1,
Volume,13752439.000,13752439.000,13752439.000,0.000,13752439.000,13752439.000,13752439.000,13752439.000,1,µm^3,Surface,,1,
