
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,544945.875,544945.875,544945.875,0.000,544945.875,544945.875,544945.875,544945.875,1,µm^2,Surface,,1,
Volume,10338478.000,10338478.000,10338478.000,0.000,10338478.000,10338478.000,10338478.000,10338478.000,1,µm^3,Surface,,1,
