
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,597171.688,597171.688,597171.688,0.000,597171.688,597171.688,597171.688,597171.688,1,µm^2,Surface,,1,
Volume,11723180.000,11723180.000,11723180.000,0.000,11723180.000,11723180.000,11723180.000,11723180.000,1,µm^3,Surface,,1,
