
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Collection,Time,
Area,666767.812,666767.812,666767.812,0.000,666767.812,666767.812,666767.812,666767.812,1,µm^2,Surface,,1,
Volume,14048077.000,14048077.000,14048077.000,0.000,14048077.000,14048077.000,14048077.000,14048077.000,1,µm^3,Surface,,1,
